Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
562/R,2022-01-24,BELL FLAVORS & FRAGRANCES GMBH,Schimmelstrasse 1 04205 Lipsk,Niemcy,spółka z o.o.,"Opracowywanie, wytwarzanie i dystrybucja na całym świecie substancji zapachowych i smakowych, w tym również kompozycji olejków eterycznych, niektórych wyrobów kosmetycznych i środków do pieczenia.",Małgorzata Jończyk,ul. Piastowska 8,43-200,Pszczyna,śląskie,Aktywne,24.01.2026
563/R,2022-01-31,"OBSZCZESTWO S OGRANICZENNOJ OTWIETSTWIENNOSTJU ""BestTeks"" (nazwa skrócona OOO ""BestTeks"")",ul. Gogola 1 224005 Brześć,Białoruś,spółka z o.o.,Sprzedaż hurtowa wyrobów tekstylnych,Dina Chukhlantseva,ul. Fort Piłsudskiego 3 lok. 10,02-704,Warszawa,mazowieckie,Aktywne,31.01.2026
564/R,2022-02-16,Sichuan Chelota Biotech Corporation Limited,"Sichuan  618300 Liangshui Village, Jinyu Town, Guanghan, Deyang",Chiny,spółka z o.o.,"Prace badawcze i rozwojowe dotyczące zastosowań biotechnologii w paszach; produkcja: pierwiastków mineralnych i ich związków kompleksowych (chelat) (I) takich jak: fumaran żelaza (II), związek kompleksowy metioniny i miedzi (chelat), związek kompleksowy metioniny i żelaza (chelat), związek kompleksowy metioniny i manganu (chelat), związek kompleksowy metioniny i cynku (chelat), związek kompleksowy glicyny i miedzi (chelat), związek kompleksowy glicyny i żelaza (chelat), związek glicyny i cynku oraz pikolinian chromu; pierwiastki mineralne (II): diwodorofosforan sodu, diwodorofosforan potasu, siarczan magnezu, tlenek magnezu, siarczan żelaza (II), siarczan miedzi (II), tlenek cynku, siarczan cynku, siarczan manganu, tlenek manganu, jodek potasu, jodan potasu, jodan wapnia, chlorek kobaltu, siarczan kobaltu (II), selenin sodu, mrówczan wapnia (I), chlorek potasu (II), zasadowe chlorki miedzi, chlorek amonu, hydroksylowy analog selenometioniny, związek kompleksowy aminokwasówi manganu, dodatki paszowe, prefiksowy dodatek do pasz oraz produkcja leków weterynaryjnych. Sprzedaż: surowców do pasz, produktów przemysłu chemicznego (z wyłączeniem niebezpiecznych substancji chemicznych, prekursorów narkotyków oraz artykułów łatwopalnych i wybuchowych), leków weterynaryjnych.
 ",Jerzy Pastuszak,ul. Warpnowska 28,60-453,Poznań,wielkopolskie,Wykreślone 17-02-2024,
565/R,2022-02-23,ALAINÉ FORWARDING,Rue de la Grosne - ZONE INDUSTRIELLE SUD 71000 Măcon,Francja,spółka akcyjna uproszczona,Organizowanie czarteru i transportu krajowego i międzynarodowego.,Matthias Védrines,ul. Sławęcińska 14,05-850,Macierzysz,mazowieckie,Wykreślone 24-02-2024,
566/R,2022-03-03,LOGISTABLE LIMITED,Suite 3A Tisa House 143 Main Street Gibraltar GX11 1AA Gibraltar,Gibraltar,spółka z o.o.,Projektowanie i zarządzanie portfelem inwestycyjnym klientów. Usługi doradztwa inwestycyjnego. ,Tomasz  Biełanowicz,ul. Dobra 40,00-344,Warszawa,mazowieckie,Wykreślone 04-03-2024,
567/R,2022-05-04,Columbus Private (Suisse) SA,Place de la Synagogue 5 1204 Genewa,Szwajcaria,spółka akcyjna,"Zarządzanie i administracja w odniesieniu do majątku i mienia, przede wszystkim na rzecz osób trzecich, jak również wszelkie usługi finansowe i wszelkie działania powiernicze, wszelkie usługi i działalność handlowa lub inna w ramach administracji i zarządzania w odniesieniu do family office, międzynarodowe doradztwo podatkowe i prawne.",Piotr Augustyniak,ul. Żelazna 51/53,00-841,Warszawa,mazowieckie,Aktywne,05.04.2026
568/R,2022-05-05,Inner Mongolia Evergrand Pharmaceutical Corp. Ltd.,"Linxi Industrial Park 025250 Chifeng City, Inner Mongolia",Chiny,spółka z o.o.,"Produkcja i sprzedaż ziół medycyny chińskiej, produkcja i sprzedaż gotowych leków medycyny chińskiej, produkcja i sprzedaż żywności oraz dodatków paszowych, uprawa i sprzedaż ziół pochodzenia roślinnego, sprzedaż nasion wykorzystywanych w medycynie chińskiej, zdrowej żywności, pestycydów, nawozów chemicznych, tuneli foliowych, import i export towarów lub technologii. ",Wenning Hu,ul. Kilińskiego 40,33-240,Żabno,małopolskie,Wykreślone 06-05-2024,
569/R,2022-05-19,FORM NUTRITION LIMITED,"Newday House, First Avenue Weston Road CW1 6BE Crewe, Cheshire",Wielka Brytania,spółka z o.o.,"Wytwarzanie innych produktów spożywczych, gdzie indziej niesklasyfikowanych. Wytwarzanie gotowych pasz dla zwierząt.",Anna Bober,"ul. Baranowicka 3, Ochaby Wielkie",43-430,Skoczów,śląskie,Wykreślone 20-05-2024,
570/R,2022-07-06,PLAYCUS GLOBAL CORP.,"60 Charlotte Street, E2L 2H9 Saint John NB",Kanada,spółka akcyjna,Tworzenie gier komputerowych,Illia Kurpin,ul. Marii Konopnickiej 1 lok. 4,02-704,Jelenia Góra,dolnośląskie,Wykreślone 08-06-2024,
571/R,2022-08-06,MANGOPAY S.A.,"Avenue Amélie 2, 1125 Luksemburg",Luksemburg,spółka akcyjna,Prowadzenie działalności polegającej na emisji pieniądza elektronicznego zgodnie z ustawą o usługach płatniczych oraz w granicach jej pozwolenia prowadzenie instytucji pieniądza elektronicznego.,"Charles Edouard Baroni, Philippe Bruneton",ul. Prosta 20,00-850,Warszawa,mazowieckie,Wykreślone 09-06-2024,
572/R,2022-10-06,MACROGEN EUROPE B.V.,"Meibergdreef 57, 1105BA Amsterdam",Niderlandy,spółka z o.o.,Badania i rozwój w zakresie zdrowia i żywności (niebiotechniczne). Prowadzenie analiz i badań naukowych.,Jong Hyon Lee,ul. Szyperska 3 lok. 5,61-754,Poznań,wielkopolskie,Wykreślone 11-06-2024,
573/R,2022-06-13,FAIRVALUE CORPORATE COMMUNICATION,"8 place de la Madeleine, 75008 Paryż",Francja,prosta spółka akcyjna,"Komunikacja we wszystkich jej formach a w szczególności doradztwo i szkolenia w zakresie reklamy, marketingu, multimediów i komunikacji internetowej.",Dorota Maria Łoś,ul. Pańska 96 lok. 101,00-837,Warszawa,mazowieckie,Wykreślone 14-06-2024,
574/R,2022-06-23,Sojitz Solvadis GmbH,"Schirmerstr. 76, 40211 Dusseldorf",Niemcy,spółka z o.o.,"Handel międzynarodowy i lokalna sprzedaż towarów wszystkich rodzajów, w szczególności chemikalia i tworzywa sztuczne, nawozy, minerały i składniki żywności funkcjonalnej, o ile nie jest wymagana zgodna prawna.",Olga Czyżewska,ul. Ogrodowa 58,00-876,Warszawa,mazowieckie,Aktywne,23.06.2026
575/R,2022-06-29,PHYTOBIOTEC  AGROINDUSTRIAL  LTDA,Av Cantorio Florentino da Silva 1.423 sala 06 88.230-000 Canelinha,Brazylia,spólka z o.o.,Sprzedaż hurtowa produktów leczniczych i leków weterynaryjnych.,Jakub Tadeusz Cyplik,ul. Akacjowa 3,63-004 ,"Tulce, Gowarzewo",wielkopolskie,Wykreślone 30-06-2024,
576/R,2022-07-15,PANINI S.P.A.,Viale Emilio Po 380 41126 Modena (MO) ,Włochy,spółka akcyjna,"Produkcja papieru, wydawnictwo, drukowanie, dystrybucja i sprzedaż przy zastosowaniu wszelkich kanałów dystrybucyjnych produktów wydawniczych (z wykluczeniem drukowania dzienników), produkcja, handel hurtowy i detaliczny w zakresie obrazków naklejek dla dzieci, kopert i albumów do kolekcjonowania dla młodzieży, czasopism i ich dodatków, książek i podręczników, wszelkie inne przedsięwzięcia wydawnicze lub graficzne, włącznie z nośnikami audiowizualnymi, dyskami, produkcja, handel hurtowy i detaliczny w zakresie kart kredytowych, kluczy elektronicznych, gier komputerowych i akcesoriów oraz software informatycznych powyższego rodzaju, w najróżniejszych postaciach i formach.",Monika Pąśko-Melon,ul. Warszawska 58c lok. 45,02-496,Warszawa,mazowieckie,Aktywne,15.07.2026
577/R,2022-07-15,NEWLINE INTERACTIVE EUROPE SL,"Ronda de Poniente 2  28760 Tres Cantos, Madryt",Hiszpania,spółka z o.o.,"Handel, dystrybucja i sprzedaż urządzeń technologicznych i informatycznych oraz wszelkie usługi z nimi związane, m.in. konserwacja i naprawa tych produktów.",Robert Pusz ,Al. Jerozolimskie 200 bud. 2 lok. 322,02-486,Warszawa,mazowieckie,Aktywne,15.07.2026
578/R,2022-09-08,Hanjin Global Logistics Europe s.r.o.,"Sokolovská 100/94, 186 00 Praha 8, Karlin",Republika Czeska,spółka z o.o.,"Pośrednictwo w przewozach towarowych, lotniczych i morskich. Działalność w zakresie obsługi ładunków w przewozach towarowych, lotniczych, morskich. Działalność polegajaca na magazynowaniu i konfekcjonowaniu (pakowanie, przepakowywanie bez zmiany cech fizycznych ładunków) oraz pozostała działalnośc techniczna w transporcie. Działalność spedycyjna i reprezentacja w procesie odpraw celnych.",Jae Sung Lim,ul. Kącik 4,30-549,Kraków,małopolskie,Wykreślone 10-08-2024,09.08.2024
579/R,2022-10-08,UAB INTERSURGICAL,ul. Arnioniu 60/28-1 LT-4710 Pabrade,Litwa,zamknięta spółka akcyjna,Produkcja i handel detaliczny urządzeniami medycznymi i narzędziami chirurgicznymi.,Elżbieta Koenig,ul. Trakt Lubelski 237 R,04-667,Warszawa,mazowieckie,Aktywne,10.08.2026
580/R,2022-10-08,INABA-FOODS (Europe) GmbH,"Berliner Allee 59, 40212 Dusseldorf",Niemcy,spółka z o.o.,"Produkcja gotowej karmy dla zwierząt domowych. Sprzedaż hurtowa pozostałej zywności, włączając ryby, skorupiaki i mięczaki. Wszelka działalność towarzysząca poprzedniemu punktowi",Atsuhiro Inaba,ul. Bobrowiecka 1,00-728,Warszawa,mazowieckie,Wykreślone 11-08-2024,
581/R,2022-08-18,SITA Bauelemente GmbH,Ferdinand-Braun-Straße 1 33378 Rheda-Wiedenbrück ,Niemcy,spółka z o.o.,Produkcja i sprzedaż elementów budowlanych,Piotr Stryjak,ul. Rydlówka 20,30-363,Kraków,małopolskie,Aktywne,18.08.2026
582/R ,2022-06-09,"GALLO VINEYARDS, INC.","CA 95353 Modesto, Yosemite Blvd 600",Stany Zjednoczone Ameryki,spółka akcyjma stanu Kalifornia,"Dystrybucja wina i produktów winiarskich, uprawa i sprzedaż winogron.",Anne Claire Sbile ,ul. Bobrowiecka 3 lok. 47,00-728,Warszawa,mazowieckie,Aktywne,06.09.2026
583/R,2022-12-09,Hupac Intermodal SA,Viale R. Manzoni 6 6830 Chiasso,Szwajcaria,spółka akcyjna,"Organizacja i realizacja przewozów w transporcie intermodalnym. Spółka może załatwiać wszystkie sprawy będące  ze sobą powiązane bezpośrednio lub pośrednio, rozwijać swoją działalność gospodarczą w pokrewnych branżach, pozyskiwać, zbywać i zarządzać terenami oraz nabywać przedsiębiorstwa lub w nich uczestniczyć. Spółka może zakładać w Szwajcarii lub za granicą oddziały lub spółki-córki.",Beata Mizeracka,Al.. Jerozolimskie 125/127 lok. 405,02-017,Warszawa,mazowieckie,Wykreślone 05-04-2024,
584/R,2022-09-21,COPARTNER TECHNOLOGY CORPORATION,"Chien Pa Rd. 16, 4F 235 NewTaipei City",Chiny/Tajwan,spółka akcyjna,"Produkcja przewodów i kabli elektrycznych, produkcja wyposażenia i oprzyrządowania, produkcja części i elementów elektrycznych, produkcja samochodów i ich części, sprzedaż hurtowa sprzętu gospodarstwa domowego, sprzedaż hurtowa przyrządów precyzyjnych, sprzedaż hurtowa instrumentów meteorologicznych, sprzedaż hurtowa i dostawa części pojazdów mechanicznych, sprzedaż hurtowa materiałów elektronicznych, sprzedaż detaliczna sprzętu gospodarstwa domowego, sprzedaż detaliczna materiałów elektronicznych, handel międzynarodowy, świadczenie usług w zakresie informacji cyfrowej. Wszystkie produkty handlowe, które nie są zakazane lub ograniczone przez prawo, z wyjątkiem tych, które są przedmiotem szczególnego pozwolenia.",Wen-Hung Liao,Pl. Andersa 7 lok. 106,61-894,Poznań,wielkopolskie,Aktywne,21.09.2026
585/R,2022-09-29,"OOO ""WOSTOK-JUG""","Prochładnaja nr 9 lok. 3, 238300 Gurjewsk",Rosja,spółka z o.o.,Działalność pocztowa powszechnego zastosowania.,Szymon Kiciński,ul. Perzyny 73,64-360,Perzyny,wielkopolskie,Wykreślone 30-09-2024,
586/R,2022-10-10,"MIANYANG HABIO BIOENGINEERING CO., LTD","No. 69 Hongen East Road, Economic-Technological Development Zone, 621000 Mianyang City",Chiny,spółka z o.o.,"Produkcja, sprzedaż, transfer technologii oraz usługi konsultingowe dotyczące preparatów enzymatycznych do dodatków paszowych, preparatów enzymatycznych do mieszanych dodatków paszowych, premiksowanych pasz z suplementami oraz produktów fermentacji biologicznej, handel zagraniczny.",Jerzy Pastuszak,ul. Warpnowska 28,60-453 ,Poznań,wielkopolskie,Wykreślone 11-10-2024,
587/R,2022-10-26,HACI AYVAZ ENDÜSTRIYEL MAMÜLLER SANAYI VE TICARET ANONIM ṢIRKETI,"Hadimköy Mah. Mustafa lnan Cad. 44/1, 34555  Stambuł, Arnavutköy",Turcja,spółka akcyjna prawa tureckiego,Odlewnictwo,Özen Acar,ul. Zamknięta 10 lok. 1.5,30-554,Kraków,małopolskie,Wykreślone 27-10-2024,
588/R ,2022-10-28,TransContainer Europe GmbH,"Donau-City- Straße 1, 1220 Wiedeń",Austria,spółka z o.o.,"Spedycje, agencje transportowe, handel towarami wszelkiego rodzaju i wszelkie związane z tym usługi dodatkowe.",Wojciech Grzesiok,ul. Francuska 59 lok. 6,40-028,Katowice,śląskie,Wykreślone 28-03-2024,
589/R,2022-10-11,Cupori Oy,Kuparitie 28100 Pori,Finlandia,spólka z o.o.,Produkcja miedzi,Robert Krysiak,ul. Elektoralna 13 lok. 121,00-137,Warszawa,mazowieckie,Aktywne,10.11.2026
590/R,2022-11-17,MEGA CAPITAL INC LIMITED,"22 Hung to Road, 12F Elite Centre, Kwun Tong, KLN, Hongkong",Chiny/Hongkong,spółka z o.o.,"Handel produktami spożywczymi, w tym import produktów z Unii Europejskiej",Mikołaj Kazirodek,ul. Tadeusza Kościuszki 33 lok. 210,05-500,Piaseczno,mazowieckie,Aktywne,17.11.2026
591/R ,2022-11-22,UAB VIKANT,"Partizanu 61-806, LT 49282 Kaunas",Litwa,zamknięta spółka akcyjna,"Sprzedaż hurtowa metali i rud metali, sprzedaż hurtowa wyrobów metalowych (wyrobów hutniczych)",Anna Gabrylewska-Siemieniuk,"ul. Modlińska 190, lok. 227",03-119,Warszawa,mazowieckie,Aktywne,22.11.2026
592/R,2023-01-13,CJ LOGISTICS CORPORATION,"Jong-ro 5-gil 7, 03157 Seul",Republika Korei,spółka akcyjna,"Obsługa transportu lotniczego i lądowego, produkcja urządzeń dźwigowych.",Joomyung Kim,ul. Świdnicka 36 lok. 12,50-068,Wrocław,dolnośląskie,Aktywne,13.01.2027
593/R,2023-01-13,"Obszczestwo s ograniczennoj otwietstwiennostju ,,Orgeko Briest"" (nazwa skrócona ,,OOO Orgeko Briest"")",Moskowskaja 202 L 224020 Brześć,Białoruś,spółka z o.o.,Handel hurtowy pozostałymi materiałami budowlanymi.,Ihar Valko,ul. Sasanki 79 ,35-604,Rzeszów,podkarpackie,Wykreślone 14-01-2025,
594/R,2023-01-17,TATRA LIMITED,"Globe House, Eclipse Park Sittingbourne Road Kent ME14 3EN Maidstone",Wielka Brytania,spółka z o.o.,Prowadzenie wszelkiego rodzaju działalności jako wykonawcy i specjaliści w zakresie czyszczenia rur.,Adam Leśniewski,ul. Ekologiczna 17/19 M,02-798,Warszawa,mazowieckie,Wykreślone 18-01-2025,
595/R,2023-01-17,"MARCO VISION CO., LTD","2F., No. 121, Fuqian 1 st., West Central Dist. 70062 Tainan",Chiny/Tajwan,spółka z o.o.,"Recykling, produkcja innych wyrobów z tworzyw sztucznych, handel międzynarodowy, sprzedaż hurtowa materiałów pochodzących z recyklingu.",Michał Uszpolewicz,Al. Jerozolimskie 85 lok. 21 ,02-001,Warszawa,mazowieckie,Wykreślone 26-07-2023,
596/R,2023-01-17,ATAKA ENTERPRISE PTE LTD ,"20 Kramat Lane #04-07, United House  228773 Singapur",Singapur,spółka prywatna z o.o. do wartości kapitału nominalnego,"Sprzedaż hurtowa sprzętu ochronnego i zabezpieczającego, sprzedaż hurtowa sprzętu medycznego, profesjonalnego, naukowego i urządzeń precyzyjnych. Hurtowy import i eksport.",Chin Ee Jimmy Ong,ul. Bednarska 6,60-571,Poznań,wielkopolskie,Aktywne,17.01.2025
597/R,2023-01-23,GALARBEL GAYRİMENKUL TURİZM İNŞAAT TAAHHŰT TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ,MARE SİTESİ B BLOK NO:2  48470 BİTEZ BODRUM,Turcja,spółka z o.o.,"Nabywanie, zbywanie, dzierżawienie nieruchomości, ustanawianie na nich praw rzeczowych oraz wszelkich innych praw, budowa i zlecanie budowy wszelkich zaprojektowanych budynków, fabryk, domów, willi oraz budynków wielorodzinnych, nabywanie, zbywanie oraz pośrednictwo w obrocie wszelkiego rodzaju nieruchomościami oraz gruntami, inna działalność zgodnie z umową spółki",Anna  Galkovskaya,ul. Kaliny Jędrusik 9 lok. 4,01-748,Warszawa,mazowieckie,Wykreślone 02-04-2024,
598/R,2023-02-15,KIVANҀ MEDİKAL ORGANİZASYON VE SAĞLIK HİZMETLERİ ANONİM ŞİRKETİ,"ALİ FUAT BAŞGİL 112, 34-045 Stambuł",Turcja,spółka akcyjna,"Usługi świadczone w dziedzinie służby zdrowia przez szpitale i prywatne instytucje medyczne (łącznie ze szpitalami uniwersyteckimi prywatnymi lub zarządzanymi przez fundacje, oprócz działalności stomatologicznej przewozu karetkami i oprócz działalności związanej z medycznymi testami laboratoryjnymi).",Katarzyna KOҀ,ul. 19 Kwietnia 42 ,05-090,Raszyn,mazowieckie,Wykreślone 16-02-2025,
599/R,2023-02-27,Setaş Kimya Sanayi Anonim Şirketi,"Karanafil 18, 34330 Stambuł",Turcja,spółka akcyjna,"Produkcja, import, sprzedaż, dostarczanie i marketing wszelkiego rodzaju barwników i substancji chemicznych.",Korel Güneş,ul. Milionowa 4B,92-103,Łódź,łódzkie,Aktywne,27.02.2027
600/R,2023-01-03,"Obszczestwo s ograniczennoj otwietstwiennostju ""PINA PRINT"" (nazwa skrócona: OOO ""PINA PRINT"")","Sowietskaja 27B, 225710 Pińsk",Białoruś,spółka z o.o.,Pozostałe drukowanie gdzie indziej nie sklasyfikowane. Działalność wydawnicza. Produkcja wyrobów z papieru i tektury. Drukowanie i działalność usługowa związana z poligrafią.,Sergiusz Szkulepa,ul. Elektryczna 1/3 lok. 216,15-080,Białystok,podlaskie,Aktywne,01.03.2027
601/R,2023-06-03,SpofaDental a.s. ,"ul. Markova 238, Holínské Předměsti 506 01 Jičin",Republika Czeska,spółka akcyjna,"Produkcja wyrobów medycznych — preparaty i materiały dentystyczne. Produkcja, handel i usługi niewymienione w załącznikach 1-3 do ustawy o licencjonowaniu handlu. Produkcja niebezpiecznych substancji chemicznych i niebezpiecznych mieszanin chemicznych. Produkcja, montaż remonty maszyn i urządzeń elektrycznych, sprzętu elektronicznego i telekomunikacyjnego. Produkcja preparatów farmaceutycznych w zakresie: roztwór i spray Jodisol.",Arkadiusz Wołosz,Al. Jana Pawła II 27,00-867,Warszawa,mazowieckie,Wykreślone 07-03-2025,
602/R,2023-03-22,Pemamek Oy,Lamminkatu 47 32200 Loimaa,Finlandia,spółka z o.o.,Projektowanie i produkcja automatycznych urządzeń do spawania dla różnych branż przemysłu.,Jan Chrzanowski,ul. Annopol 3 lok. 308,03-236,Warszawa,mazowieckie,Wykreślone 23-03-2025,
603/R,2023-07-04,Hanwha Europe GmbH,"Kölner Straße 10, 65760 Eschborn",Niemcy,spółka z o.o.,"Handel materiałami i towarami wszelkiego rodzaju, w tym chemikaliami, maszynami, urządzeniami elektronicznymi, innymi towarami oraz import i eksport. Najem i wynajem takich przedmiotów (w najszerszym możliwym zakresie). Udzielenie, kupno, sprzedaż i innego rodzaju rozporządzanie licencjami, patentami i innymi prawami własności przemysłowej, pod warunkiem, że odpowiednie organy udzielą ewentualnie wymaganych zezwoleń. Magazynowanie, montaż, konserwacja, wynajem traktorów. Usługi takie jak badanie rynku, poboczna działalność komisowa w zakresie obrotu towarami. Magazynowanie towarów oraz związane z tym czynności logistyczne, w szczególności odprawa celna importowa i eksportowa, oraz czynności operacyjne (transport, przeładunek, magazynowanie towarów).",Ki Suk Kwon,ul. Branickiego 17,02-972,Warszawa,mazowieckie,Wykreślone 07-03-2024,
604/R,2023-04-25,Freedom Finance Europe Ltd,"Christaki Kranou 20, Freedom Tower, 5th floor, 4041 Germasogeia, Limassol",Cypr,spółka z o.o.,Pośrednictwo w kupnie i sprzedaży papierów wartościowych,Olga Milko,ul. Emilii Plater 53,00-113,Warszawa,mazowieckie,Wykreślone 26-04-2025,
605/R,2023-05-29,HO. BAG CORPORATE S.R.L.,"Via Celtica 31/33, 31020 San Vendemiano (TV)",Włochy,spółka z o.o.,Wytwarzanie opakowań z tworzyw sztucznych,Piotr Jasiński,ul. Konstruktorska 11 lok. 46,02-673,Warszawa,mazowieckie,Aktywne,29.05.2027
606/R,2023-05-29,I.R.C.A. S.P.A. Industria Resistenze Corazzate e Affini,"Via Caduti del Lavoro 3, 31029 Vittorio Veneto (TV)",Włochy,spółka akcyjna,"Produkcja i sprzedaż ogólnie systemów grzewczych, w szczególności systemów elektrycznych.",Jakub Bok,Pl. Powstańców Warszaway 2 A,00-030,Warszawa,mazowieckie,Wykreślone 30-05-2025,
607/R,2023-06-06,SOJITZ CORPORATION OF EUROPE B.V.,"Zuidplein 104, 1077XV Amsterdam",Niderlandy,spółka z o.o.,Doradztwo w zakresie zarządzania i kierowania przedsiębiorstwem (bez public relations i biur doradczo-organizacyjnych),Tatsuhiko Niitaka,ul. Ogrodowa 58,00-876,Warszawa,mazowieckie,Aktywne,06.06.2027
608/R,2023-06-06,UAB Noviti,"Igno Šimulionio 3/87, LT-04330 Wilno",Litwa,spółka z o.o.,Działalność pożyczkowa,Linas Armalys,Al. Jerozolimskie 85 lok. 21,02-001,Warszawa,mazowieckie,Aktywne,06.06.2025
609/R,2023-05-07,"NAUROBOTICS CO., LTD","AENGGOGAE-RO 449BEON-GIL 42, 21696 INCHEON",Republika Korei,spółka z o.o.,"Działalność produkcyjna (roboty przemysłowe, części składowe robotów przemysłowych). Handel hurtowy i detaliczny (roboty przemysłowe, sprzęt do automatyzacji, handel elektroniczny). Działalność telekomunikacyjna (rozwój i sprzedaż oprogramowania).",Yongkoo Lee,ul. Świdnicka 36 lok. 12,50-068,Wrocław,dolnośląskie,Aktywne,05.07.2027
610/R,2023-07-26,"Nippon Kōei Co., Ltd","5-4 Kojimachi, Chiyoda-ku, 102-8539 Tokio",Japonia,spółka akcyjna,"Doradztwo, w tym badania, planowanie, projektowanie, zarządzanie budową oraz obsługa i konserwacja związane z inżynierią lądową i budowlaną.",Masahiro Nakamura,ul. Wspólna 70,00-687,Warszawa,mazowieckie,Aktywne,26.07.2027
611/R,2023-08-29,Polish & Slavic Federal Credit Union,"11222 Nowy Jork, 100 McGuinness Blvd. Brooklyn ",Stany Zjednoczone Ameryki,spółdzielcze stowarzyszenia,Gromadzenie oszczędności członków oraz zapewnienie im dostępu do kredytów zapomogowych i rozwojowych.,"Bogdan Chmielewski, Zbigniew Rogalski, Anna Florek-Scarfutti",Al. Jana Chrystiana Szucha 3/1,00-580,Warszawa,pomorskie,Aktywne,29.08.2025
612/R,2023-08-29,"Korea Aerospace Industries, Ltd","52529 Sacheon-si, 78 Gongdan 1-ro, Sanam-myeon",Republika Korei,spółka z o.o.,"Wytwarzanie statków powietrznych, kosmicznych i wyposażenia pomocniczego. Działalność budowlana poza graniczmi kraju",Chang Jae Lee,Al. Ujazdowskie 41,00-538,Warszawa,mazowieckie,Aktywne,29.08.2025
613/R,2023-08-29,"Nanoshell Company, LLC","UT 84054, North Salt Lake, 259 Springridge DR",Stany Zjednoczone Ameryki,spółka z o.o.,Produkcja pasz oraz mieszanek i dodatków paszowych dla zwierząt.,Maciej Olszewski,ul. Sportowa 1,07-430,Myszyniec,mazowieckie,Aktywne,29.08.2025
614/R,2023-01-09,SWISS STEEL EASTERN EUROPE S.R.L.,"Sectorul 2, Aurel Vlaicu 126, 020099 Bukareszt",Rumunia,spółka z o.o.,Sprzedaż hurtowa metali i rud metali.,Romain Frédéric Calderon,ul. Twarda 18,00-105,Warszawa,mazowieckie,Aktywne,01.09.2025
615/R,2023-01-09,EDIMAX TECHNOLOGY EUROPE B.V.,Fijenhof 2 5652 AE Eindhoven,Niderlandy,spółka z o.o.,"Sprzedaż hurtowa komputerów, urządzeń peryferyjnych i oprogramowania.",Guan-Sheng Renn,Al. Jerozolimskie 214,02-486,Warszawa,mazowieckie,Aktywne,01.09.2025
616/R,2023-07-09,"Korea Hydro & Nuclear Power Co., Ltd","1655 Bulguk-ro, 38120 Munmudaewang-myeon, Gyeongju-si ",Republika Korei,spółka akcyjna,"Opracowywanie i tworzenie źródeł energii, działalność związana z wytwarzaniem energii i podobnych.",Dong Ho Son,"ul. Twarda 18, SPEKTRUM TOWER ",00-824,Warszawa,mazowieckie,Aktywne,07.09.2025
617/R,2023-09-25,Adam Krzysztof Figiel,"Bahnhofstraße 2, 3441 Judenau",Austria,jednoosobowa działalność gospodarcza nie wymagająca koncesji,Działalność handlowa z wyjątkiem handlu regulowanego nie wymagająca koncesji,"Adam Figiel, Barbara Fibiel",Al. Armii Krajowej 220/07,43-316,Bielsko-Biała,śląskie,Aktywne,25.09.2025
618/R,2023-09-10,"American Heart Association, Inc.","7272 Greenville Avenue, 75231 Dallas, Teksas",Stany Zjednoczone Ameryki,spółka prawa stanu Nowy Jork,"Sprzedaż produktów i usług, sprzedaż towarów on-line, usług reklamowych",John Meiners,ul. Marszałkowska 126/134,00-008,Warszawa,mazowieckie,Aktywne,09.10.2025
619/R,2023-10-23,"Zhejiang Vega Bio-technology Co., Ltd. ","313307 Building 3, Xiaoshu Industrial Function Zone, Meixi Town, Anji County, Zhejiang Province",Chiny,spółka z o.o.,"Produkcja dodatków paszowych, produkcja mieszanek paszowych, zawierające dodatki paszowe, produkcja premiksów paszowych, sprzedaż surowców paszowych; sprzedaż dodatków paszowych; sprzedaż środków dezynfekujących (z wyłączeniem niebezpiecznych substancji chemicznych); produkcja wyrobów przemysłu chemicznego (z wyłączeniem produktów przemysłu chemicznego podlegających koncesjonowaniu); sprzedaż wyrobów przemysłu chemicznego (z wyłączeniem produktów przemysłu chemicznego podlegających koncesjonowaniu); usługi technologiczne, rozwijanie technologii, doradztwo technologiczne, wymiana technologiczna, transfer technologii i popularyzacja technologii, import i eksport towarów.",Jerzy Pastuszak  ,ul. Warpnowska 28,60-453 ,Poznań,wielkopolskie,Aktywne,23.10.2025
620/R,2023-10-31,Locus Robotics Corporation,"Ballardvale Street 301, MA 01887 Wilmington Massachusetts ",Stany Zjednoczone Ameryki,spółka akcyjna,"Automatyzacja robotyki magazynowej, najem robotów klientom z branży e-commerce i branży realizacji zamówień magazynowych oraz wszelka działalność gospodarcza powiązana z powyższym.","Joel Buckley Collins, Dustin Alan Pederson  ",ul. Inflancka 4 B,00-189,Warszawa,mazowieckie,Aktywne,31.10.2025
